frame,u,v,conf,cls,w_px,h_px,angle_deg,colour_b,colour_g,colour_r
85,860.932373046875,327.42529296875,0.40412458777427673,9,24.75114631652832,53.05916976928711,0.6903630779063313,44.0,34.0,35.0
86,861.1129760742188,337.9127502441406,0.4620826244354248,10,25.14792251586914,54.56336975097656,2.1255326715931657,42.0,33.0,31.0
87,860.0619812011719,350.3960266113281,0.5762695074081421,9,24.753355026245117,55.69652557373047,2.716144465209457,48.0,37.0,37.0
88,859.1784362792969,361.5321044921875,0.5684377551078796,10,24.546653747558594,53.99602508544922,2.0690292913540005,42.0,32.0,36.0
89,858.5458068847656,373.4578857421875,0.6398472785949707,10,25.116809844970703,53.101322174072266,2.0498622864390637,44.0,35.0,36.0
90,859.1535034179688,384.8251037597656,0.6450196504592896,10,23.878787994384766,53.18578338623047,1.5749717198876536,42.0,31.0,37.0
91,858.4939575195312,396.4381408691406,0.4193662405014038,9,23.83401107788086,52.0189094543457,2.676388708815163,40.5,30.0,32.0
92,858.0985412597656,408.1864929199219,0.5853502154350281,10,23.510066986083984,51.929901123046875,2.240046982887365,44.0,36.0,34.0
93,858.1160583496094,419.5190124511719,0.7340928912162781,10,23.50055694580078,52.06294631958008,2.191922750655924,44.0,35.0,35.0
94,858.1290283203125,432.0959777832031,0.7001136541366577,10,23.80664825439453,52.385589599609375,1.864285619802994,46.0,36.0,38.0
94,857.9754638671875,449.3382158279419,0.32226240634918213,9,23.535354614257812,18.755857467651367,3.798984513533296,46.0,40.0,137.0
95,857.2734680175781,443.5144348144531,0.6202845573425293,10,23.289247512817383,52.360450744628906,2.086715852766337,40.5,34.0,34.0
96,856.7411499023438,456.03717041015625,0.6719899773597717,10,23.36646270751953,52.75177001953125,2.7686030927995056,42.0,36.0,35.0
97,856.4605407714844,467.5217933654785,0.7271816730499268,10,22.508193969726562,51.81580352783203,1.4248753246688615,39.0,33.0,32.5
98,856.0511779785156,479.9940185546875,0.6267861127853394,10,23.386005401611328,53.67326736450195,2.9389608173043174,42.0,35.0,35.0
99,855.597412109375,492.76358795166016,0.4357570707798004,10,24.84235954284668,51.85573959350586,3.569371269440627,50.5,39.5,38.5
100,855.2819213867188,504.9400863647461,0.6613024473190308,9,24.02353286743164,53.05582046508789,2.802629601140628,43.0,34.0,36.0
101,855.5530700683594,515.7525024414062,0.607130765914917,10,23.316619873046875,52.62306594848633,2.792388799697252,40.0,31.0,32.0
102,855.2512817382812,528.6518402099609,0.3842058777809143,10,22.049957275390625,51.31329345703125,1.7602479649219482,40.0,31.0,33.5
103,854.8368835449219,540.525146484375,0.7016621828079224,10,23.16947364807129,51.20460891723633,2.7265353173711624,42.0,33.0,34.0
104,854.054931640625,553.7916870117188,0.6368093490600586,10,22.478580474853516,52.89228820800781,2.6904595388356243,41.0,32.0,35.5
105,853.4886474609375,566.322135925293,0.7132147550582886,10,23.21957015991211,51.580116271972656,3.51212745400675,38.0,30.0,28.0
