track_id,observations,duration_s,displacement_m,path_length_m,straightness,average_speed_mps,median_speed_mps,max_speed_mps,mean_conf,start_lat,start_lon,end_lat,end_lon,is_moving,verdict
1,5,0.164,0.7302670905688436,0.7303103901969286,0.9999407106503397,4.452848113224656,5.198240239370039,5.520767984698632,0.4069802463054657,48.26715534189032,25.91403065741312,48.26715955777328,25.91401866938343,False,too_short
2,77,2.9029999999999996,55.76122934981706,55.7634792081853,0.9999596535510303,19.20813963135276,20.195785851312177,20.4668186308095,0.5556219107918925,48.26711240145314,25.913982516024667,48.266876557208,25.914689412899804,True,moving
3,3,0.7000000000000002,0.0,0.0,0.0,0.0,16.52456796514432,16.603665780614644,0.4780705173810323,48.267000007416655,25.914324538380814,48.266948686378406,25.91447282679948,False,too_short
4,34,1.168000000000001,15.43444987939729,15.443911846947666,0.9993873334914013,13.214426266607257,18.567598622057794,32.37777148896061,0.5254547105116003,48.26760842006448,25.91240262635064,48.26753496029609,25.912629172119072,True,moving
5,81,4.003,32.484498221557324,89.43308684176829,0.363226847788798,8.115038276681819,6.849224472055504,10.686984008417534,0.6492877885883237,48.26754520431275,25.91260002242463,48.267674071833,25.91220192010396,False,wandering
6,83,2.8339999999999996,30.284523516066823,30.310014497691302,0.9991589914407194,10.686140972500645,12.251030036886776,19.74114858754026,0.7103891322411686,48.26769704227695,25.912140217630096,48.267561417130985,25.91254217895476,True,moving
7,34,1.1030000000000015,14.4968118075307,14.507299236673441,0.9992770929328989,13.143075074823825,17.576731480990283,31.48751716243092,0.6741629733758814,48.26752968805313,25.912644068631995,48.26746890453238,25.91282810595505,False,stationary
8,16,1.471,1.1854918921378974,1.6915717818988432,0.7008226933220327,0.8059088321807596,4.288785926864401,9.595935389413388,0.328439436852932,48.26814850693167,25.912098482541666,48.26814732035451,25.91207771530945,False,stationary
12,315,14.245000000000001,144.45111499681684,169.8774586774879,0.8503253823160674,10.140478413254955,9.309401261041614,11.609913823545885,0.6653802551920451,48.26808633787694,25.911016316697108,48.26769588396804,25.909157423807866,True,moving
13,5,0.13200000000000145,1.2507823999933323,1.2507841940992577,0.9999985656151286,9.475624242373625,25.72027359825753,26.02786161335791,0.5734811842441558,48.26810235725456,25.91079392487439,48.268093322386825,25.91082535980078,False,too_short
14,143,6.739999999999998,1.0142142436689767,15.788557219328162,0.06423729727675102,0.15047689075207374,1.0675141229325236,19.22515821618495,0.464361672634845,48.26814328329161,25.91077741341693,48.26813282851485,25.910763293717743,False,stationary
15,21,0.6640000000000015,10.586311299253415,10.589558455033673,0.9996933624953254,15.943239908514144,25.76730122454709,35.115050665040734,0.6654573409330278,48.268085610338574,25.91085096063026,48.26804097135253,25.91099225099039,False,stationary
16,88,4.436,21.649395343529633,24.77695577808086,0.8737714002251217,4.880386686999467,3.1101873658250545,9.406222165811252,0.4842162464152683,48.26814960824845,25.91077242769996,48.26815883305987,25.909997419865917,False,too_slow
17,91,5.34,11.635542108497788,23.208214385462696,0.5013544736895454,2.17894046975614,0.6914274990703807,10.893115683407965,0.43593554706363885,48.26819701730426,25.910624809904974,48.268262853123,25.91045179725512,False,stationary
18,57,2.600999999999999,15.503077677501707,27.41997675676725,0.5653935382594935,5.960429710688856,5.430115219933268,22.331747426449585,0.5495026932473768,48.2683668968696,25.91068727002285,48.26823071988912,25.910613317084177,True,moving
19,40,1.468,18.972584751011958,19.278611113738144,0.9841261198267489,12.92410405382286,9.193951777196627,12.811850857744002,0.7544074125587941,48.268039510776205,25.910996036074717,48.267966543077776,25.91122695365265,True,moving
20,73,5.7059999999999995,3.3448885422997114,37.603334393034274,0.0889519133420074,0.5862054928671069,0.8847039209766455,12.932941445007122,0.45538380578772664,48.26822173636007,25.910538962012257,48.2682629124336,25.910473626307915,False,stationary
21,4,0.13299999999999912,1.9177302099589901,1.9177302099589901,1.0,14.419024135030096,32.58956422294044,35.148181625899035,0.3058459162712097,48.26835028842031,25.9106309401796,48.26836108302405,25.910594335753505,False,too_short
22,69,3.5700000000000003,0.5139281690239861,40.51573306741656,0.012684656801564718,0.14395747031484202,4.734928847431235,6.767329070877925,0.49522577982017957,48.26822699768291,25.910521457365515,48.268223632715134,25.910518030296963,False,stationary
23,5,0.13400000000000034,0.4403688306384332,0.4447002716440684,0.9902598642685291,3.2863345570032245,27.149635623977236,28.50684876759814,0.8067181825637817,48.26801472403812,25.91107145616455,48.268020596941405,25.91105673682795,False,too_short
25,8,0.2989999999999995,2.095872783940965,2.105056766984912,0.9956371803421239,7.009607973046718,19.221326420091113,20.700638047684585,0.5088295303285122,48.26832855656565,25.910128078311644,48.26829550901321,25.9101347825303,False,too_short
26,7,0.2699999999999996,3.2759367952457543,3.279035723481283,0.999054926967298,12.13309924165096,34.14853046016362,35.1619357405518,0.5644733309745789,48.26827145441239,25.910076319335367,48.2682743940371,25.9099772608726,False,too_short
27,6,0.3009999999999984,1.7651869895258052,1.7682705090512667,0.9982561946774106,5.8644086030757965,7.671640875156668,8.323826780042946,0.40924834211667377,48.26822003644176,25.910537839780712,48.26820162492327,25.91054338953299,False,too_short
29,22,1.3679999999999986,12.475978132466917,13.572084908035004,0.9192381433659345,9.11986705589688,8.16464762255272,10.884841745751906,0.4447010674259879,48.268209088777375,25.910005096207005,48.268105864315295,25.9098244420729,False,stationary
30,5,0.2660000000000018,0.5739915480570174,0.5840917182668445,0.9827079037521761,2.1578629626203516,5.555624065473127,6.104145551005887,0.432429838180542,48.26798246107326,25.909300848813583,48.267975714415854,25.90929377347028,False,too_short
31,79,4.572000000000003,4.326020589464766,7.420754241411967,0.5829623847833616,0.9461987291042789,0.5707543924868771,9.263871110134504,0.5341592717774307,48.26800086018267,25.90923994803661,48.26799441980631,25.90936710057661,False,stationary
33,20,2.433,3.1403412647878275,14.080750269804351,0.22302371710420668,1.2907280167644175,1.5286428197255386,3.9807822531277393,0.39919101148843766,48.26796500064758,25.90935488254491,48.26798910292622,25.909385582775748,False,stationary
34,8,0.2339999999999982,1.7963729222582732,1.7976076097060727,0.9993131496322485,7.676807360078149,17.807388620107595,18.938642600013825,0.4561404325067997,48.26796734115988,25.90936400136645,48.267981558142736,25.90938672387875,False,too_short
35,63,2.5050000000000026,31.771067507164382,31.78110953497919,0.9996840252602334,12.683060881103533,10.106709740299054,32.72343287093396,0.701670647613586,48.26750868072033,25.90887830567437,48.26769354912248,25.909218030944697,True,moving
37,79,2.636000000000003,37.15715259042114,37.16312441185528,0.9998393078749797,14.096036642800115,15.465490270665754,17.6061133170472,0.6750161549713039,48.26739470116856,25.908671379234253,48.26761016997609,25.90907255668864,True,moving
39,259,9.242,120.5237411755181,120.70713284082092,0.9984806890778802,13.040872232797888,7.89864381716069,12.928732461185051,0.7610597700225801,48.26759178638208,25.90902475726985,48.26690882786953,25.90775066885635,True,moving
